"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Este test automatiza el llenado del formulario y verifica que se muestre el mensaje de éxito.","7423","Llenar y enviar el formulario de contacto con datos válidos","Surefire suite","Wed Jun 11 22:18:21 CST 2025","passed","Wed Jun 11 22:18:28 CST 2025","test.ContactUsTest","Surefire test","test.ContactUsTest","testFillFormContactUs"
"Este test automatiza el llenado del formulario y verifica que no se genere  el envio.","8356","Llenar y enviar el formulario de contacto con datos incorrectos","Surefire suite","Wed Jun 11 22:18:33 CST 2025","passed","Wed Jun 11 22:18:41 CST 2025","test.ContactUsTest","Surefire test","test.ContactUsTest","testFillWrongFormContactUs"
